,File Name,Peak Time (s),Peak Flux (counts/s),Peak Above bkg (counts/s),Decay Rate (/s),Start Time (s),End Time (s),Rise Time (s),Decay Time (s),Duration (s)
1348,ch2_xsm_20211012_v1_level2,150777934.12690002,1389.764973564341,1096.0243764023621,0.0002466398339128311,150769506.12690002,150798909.12690002,8428.0,20975.0,29403.0
1349,ch2_xsm_20211012_v1_level2,150826405.12690002,383.4722427375341,147.4381004723913,0.0013527524327952706,150817544.12690002,150834753.12690002,8861.0,8348.0,17209.0
1350,ch2_xsm_20211013_v1_level2,150857070.926885,298.49252915869215,114.34922146780195,0.00011976743381126966,150852076.926885,150879190.926885,4994.0,22120.0,27114.0
1351,ch2_xsm_20211013_v1_level2,150894424.926885,860.4586392718013,592.5154688584397,0.00031587048362776137,150893090.926885,150907495.926885,1334.0,13071.0,14405.0
1352,ch2_xsm_20211013_v1_level2,150921439.926885,1010.5012006593963,679.6976774207949,0.006695651849992417,150919341.926885,150923312.926885,2098.0,1873.0,3971.0
1353,ch2_xsm_20211013_v1_level2,150922938.926885,458.94182328143853,283.5527390365896,0.00022984112030323433,150921993.926885,150937732.926885,945.0,14794.0,15739.0
1354,ch2_xsm_20211013_v1_level2,150928454.926885,600.8407292874068,525.9942169183872,0.004773713886964899,150925206.926885,150931064.926885,3248.0,2610.0,5858.0
1355,ch2_xsm_20211013_v1_level2,150933831.926885,1852.2174488538046,2414.4815276657887,0.004319903848760926,150930508.926885,150938671.926885,3323.0,4840.0,8163.0
1356,ch2_xsm_20211013_v1_level2,150936532.926885,997.2411050161113,578.3893709382883,0.01610582466114804,150935850.926885,150937262.926885,682.0,730.0,1412.0
1357,ch2_xsm_20211014_v1_level2,150942268.71271998,856.0076336124216,147.23133422225638,0.0015611788258426936,150941571.71271998,150944668.71271998,697.0,2400.0,3097.0
1358,ch2_xsm_20211014_v1_level2,150944548.71271998,895.8580828540117,213.5280385952335,0.01117063612373336,150944098.71271998,150946489.71271998,450.0,1941.0,2391.0
1359,ch2_xsm_20211014_v1_level2,150946731.71271998,1842.742123622993,1728.341297850425,0.003706862421681764,150944788.71271998,150949051.71271998,1943.0,2320.0,4263.0
1360,ch2_xsm_20211014_v1_level2,150948455.71271998,654.6228003646004,49.02517920915216,0.006244357917715191,150947743.71271998,150949259.71271998,712.0,804.0,1516.0
1361,ch2_xsm_20211014_v1_level2,150951961.71271998,3134.131291750869,2407.857195593501,0.0006712072727764973,150950311.71271998,150961423.71271998,1650.0,9462.0,11112.0
1362,ch2_xsm_20211014_v1_level2,150957655.71271998,813.1253700550793,250.25452687986137,0.0118922998847957,150956455.71271998,150959103.71271998,1200.0,1448.0,2648.0
1363,ch2_xsm_20211014_v1_level2,150963046.71271998,444.1920414017336,88.9122231578637,0.007040289769776982,150961059.71271998,150964844.71271998,1987.0,1798.0,3785.0
1364,ch2_xsm_20211014_v1_level2,150965141.71271998,402.93549176048754,72.43225730557987,0.00835277512108155,150963722.71271998,150966477.71271998,1419.0,1336.0,2755.0
1365,ch2_xsm_20211014_v1_level2,150978890.71271998,375.48580132523864,81.3873613734375,0.012022659267628051,150977863.71271998,150979893.71271998,1027.0,1003.0,2030.0
1366,ch2_xsm_20211014_v1_level2,150987641.71271998,361.17724590142507,101.14444426305464,0.0007058884121632078,150986656.71271998,150992194.71271998,985.0,4553.0,5538.0
1367,ch2_xsm_20211014_v1_level2,150990301.71271998,347.3452762681594,56.705103031055785,0.012496583832342416,150989246.71271998,150991264.71271998,1055.0,963.0,2018.0
1368,ch2_xsm_20211014_v1_level2,150996071.71271998,324.1336605703258,98.84663931042317,0.006463079351337582,150993991.71271998,150998172.71271998,2080.0,2101.0,4181.0
1369,ch2_xsm_20211014_v1_level2,151007963.71271998,319.87853891677435,54.55775962520943,0.00030363640307272573,151006677.71271998,151016365.71271998,1286.0,8402.0,9688.0
1370,ch2_xsm_20211017_v1_level2,151206495.03695402,254.540221523665,27.87108590274144,0.005467139909659951,151204236.03695402,151208749.03695402,2259.0,2254.0,4513.0
